"","PLACE","TOT_POP","PCT_U18","PC_18_65","PCT_O65","MALE_FEM"
"89","Cairo CDP                                                                             ",1273,21.9,56.4,21.7,79.7
"90","Calcium CDP                                                                           ",2465,36.9,59.6,3.5,99
"91","Caledonia village                                                                     ",2262,25.6,60.7,13.7,86.5
"92","Calverton CDP                                                                         ",4759,18.1,52.2,29.6,85.8
"93","Cambridge village                                                                     ",1906,25,55,20,80.6
"94","Camden village                                                                        ",2552,25.4,58.7,15.9,88
"95","Camillus village                                                                      ",1150,23.5,62.7,13.8,89.7
"96","Canajoharie village                                                                   ",2278,25.6,54.7,19.7,82
"97","Canandaigua city                                                                      ",10725,22.3,60.4,17.3,81.9
"98","Canastota village                                                                     ",4673,25.2,59,15.8,84.1
"99","Canisteo village                                                                      ",2421,27.6,56.8,15.5,85.2
"100","Canton village                                                                        ",6379,13.5,75.1,11.4,99.8
"101","Carle Place CDP                                                                       ",5107,21.1,63.1,15.8,94.1
"102","Carmel Hamlet CDP                                                                     ",4800,22.7,67.8,9.5,95.2
"103","Carthage village                                                                      ",4344,30.6,56.1,13.3,84.2
"104","Castile village                                                                       ",1078,29.8,57,13.3,88.8
"105","Castleton-on-Hudson village                                                           ",1491,25.2,56.5,18.4,70.9
"106","Catskill village                                                                      ",4690,24.9,56.4,18.7,79.1
"107","Cattaraugus village                                                                   ",1100,29.5,55.1,15.4,82.8
"108","Cayuga Heights village                                                                ",3457,13.9,72.1,14,94.8
"109","Cazenovia village                                                                     ",3007,17.3,69.9,12.7,58
"110","Cedarhurst village                                                                    ",5716,20.4,61.7,17.9,86.1
"111","Celoron village                                                                       ",1232,22.2,60.2,17.5,88.2
"112","Centereach CDP                                                                        ",26720,27.5,65.6,6.9,95.3
"113","Center Moriches CDP                                                                   ",5987,25.6,61.6,12.8,92.8
"114","Centerport CDP                                                                        ",5333,20.6,67.4,11.9,97
"115","Central Islip CDP                                                                     ",26028,29.5,63.9,6.6,93.9
"116","Central Square village                                                                ",1671,27.3,56.8,15.9,77.9
"117","Central Valley CDP                                                                    ",1929,26,64.7,9.2,93.9
"118","Champlain village                                                                     ",1273,24.1,60.3,15.6,89
"119","Chatham village                                                                       ",1920,23.6,59.2,17.1,91.1
"120","Cheektowaga CDP                                                                       ",84387,19.6,61.7,18.7,86
"121","Chester village                                                                       ",3270,22.7,67.5,9.8,96.2
"122","Chestnut Ridge village                                                                ",7517,23.2,68,8.7,92.8
"123","Chittenango village                                                                   ",4734,30,59.9,10.1,87.1
"124","Churchville village                                                                   ",1731,26.3,61.1,12.7,81.5
"125","Clarence Center CDP                                                                   ",1376,29.1,60.5,10.3,82.9
"126","Clark Mills CDP                                                                       ",1303,23.9,62.1,14,88.6
"127","Claverack-Red Mills CDP                                                               ",1110,19.6,60.2,20.2,92.7
"128","Clayton village                                                                       ",2160,25.1,57.4,17.5,82.1
"129","Clifton Springs village                                                               ",2175,23.4,56.6,20,81.2
"130","Clinton village                                                                       ",2238,23.5,60,16.5,85.3
"131","Clintondale CDP                                                                       ",1394,25.8,64.8,9.4,96.6
"132","Clyde village                                                                         ",2409,26.9,56.6,16.5,86.7
"133","Cobleskill village                                                                    ",5268,15.1,70.7,14.2,79.9
"134","Cohoes city                                                                           ",16825,23.6,57.9,18.5,81
"135","Cold Spring village                                                                   ",1998,19.6,60.2,20.3,79.8
"136","Cold Spring Harbor CDP                                                                ",4789,22.4,64.5,13.1,91.5
"137","Colonie village                                                                       ",8019,23.5,63.2,13.3,89.4
"138","Commack CDP                                                                           ",36124,22.5,69,8.5,95.2
"139","Congers CDP                                                                           ",8003,25.6,66.7,7.7,93.3
"140","Constantia CDP                                                                        ",1140,27.1,63.3,9.6,98.8
"141","Cooperstown village                                                                   ",2180,18.9,54.4,26.7,72
"142","Copiague CDP                                                                          ",20769,22.8,66.2,10.9,95.4
"143","Coram CDP                                                                             ",30111,27.1,64.6,8.3,91.6
"144","Corinth village                                                                       ",2760,26.9,55.8,17.3,86.3
"145","Corning city                                                                          ",11938,23.1,57.7,19.1,79.1
"146","Cornwall on Hudson village                                                            ",3093,23.9,60.1,16,86.5
"147","Cortland city                                                                         ",19801,19.3,67.2,13.6,77.8
"148","Cortland West CDP                                                                     ",1270,28.4,59.2,12.4,94.2
"149","Country Knolls CDP                                                                    ",2287,28.7,66.1,5.2,95.1
"150","Coxsackie village                                                                     ",2789,24.5,58.3,17.2,83.5
"151","Croton-on-Hudson village                                                              ",7018,22,63.5,14.5,88.4
"152","Crown Heights CDP                                                                     ",3200,26.8,65,8.2,96.7
"153","Cuba village                                                                          ",1690,27.1,54.9,18,75.2
"154","Cumberland Head CDP                                                                   ",1698,23.3,65.7,11,96.8
"155","Cutchogue CDP                                                                         ",2627,20.8,56.2,23,86.6
"156","Dannemora village                                                                     ",4005,8.9,87,4.1,686
"157","Dansville village                                                                     ",5002,26.3,57.9,15.8,85.3
"158","Deer Park CDP                                                                         ",28840,21.6,68.1,10.4,91.6
"159","Delevan village                                                                       ",1214,32,55.8,12.2,88.8
"160","Delhi village                                                                         ",3064,13,77,10.1,120.4
"161","Delmar CDP                                                                            ",8360,24.7,57.7,17.6,83.9
"162","Depew village                                                                         ",17673,21.8,64.4,13.8,88.9
"163","Deposit village                                                                       ",1936,29.2,52.7,18.1,84
"164","De Witt CDP                                                                           ",8244,18.8,68.5,12.7,114.2
"165","Dexter village                                                                        ",1030,32,56,11.9,80.4
"166","Dix Hills CDP                                                                         ",25849,25.3,68,6.7,95.4
"167","Dobbs Ferry village                                                                   ",9940,23.9,60.3,15.8,83.9
"168","Dolgeville village                                                                    ",2452,27,53.5,19.4,81.6
"169","Dover Plains CDP                                                                      ",1847,24.3,52.1,23.7,84.3
"170","Dryden village                                                                        ",1908,27.7,62.3,10,90.2
"171","Dundee village                                                                        ",1588,27.1,57.9,15,86.3
"172","Dunkirk city                                                                          ",13989,25.1,56,18.8,83.7
"173","East Aurora village                                                                   ",6647,24,56.6,19.4,80.4
"174","Eastchester CDP                                                                       ",18537,18.9,62.2,18.9,83.4
"175","East Farmingdale CDP                                                                  ",4510,22.9,67.1,10,96.4
"176","East Glenville CDP                                                                    ",6518,22.7,57.8,19.5,88.2
"177","East Greenbush CDP                                                                    ",3784,25.1,65.7,9.2,90.8
"178","East Hampton village                                                                  ",1402,12.4,57.3,30.2,86.3
"179","East Hampton North CDP                                                                ",2780,19.9,61.7,18.5,84.5
"180","East Hills village                                                                    ",6746,24.6,62.2,13.3,92.6
"181","East Islip CDP                                                                        ",14325,25.6,64.5,10,90.9
"182","East Ithaca CDP                                                                       ",2152,19.2,72.4,8.4,99
"183","East Massapequa CDP                                                                   ",19550,22.6,65.3,12.1,89.4
"184","East Meadow CDP                                                                       ",36909,22.3,64.6,13.2,102.9
"185","East Middletown CDP                                                                   ",4974,25.4,59.7,15,83.4
"186","East Moriches CDP                                                                     ",4021,27,59.7,13.4,92
"187","East Northport CDP                                                                    ",20411,23.9,65.3,10.8,93.1
"188","East Norwich CDP                                                                      ",2698,21.7,65.5,12.8,92.5
"189","East Patchogue CDP                                                                    ",20195,23.8,60.8,15.4,87.7
"190","East Quogue CDP                                                                       ",4372,20.7,58.6,20.7,90.7
"191","East Rochester village                                                                ",6932,22.2,62.8,15,84.2
"192","East Rockaway village                                                                 ",10152,21.7,64.2,14.1,89
"193","East Shoreham CDP                                                                     ",5461,29.3,64.6,6.2,93.9
"194","East Syracuse village                                                                 ",3343,22.4,60.6,16.9,85.5
"195","East Williston village                                                                ",2515,22.8,61,16.3,88.2
"196","Eatons Neck CDP                                                                       ",1499,19.5,70.9,9.6,101.5
"197","Eden CDP                                                                              ",3088,26.5,62,11.5,94.8
"198","Elbridge village                                                                      ",1219,26,62.1,11.9,93.6
"199","Ellenville village                                                                    ",4243,29.8,55.6,14.6,86.1
"200","Elma Center CDP                                                                       ",2354,21.6,64.4,14,95.9
"201","Elmira city                                                                           ",33724,26,59,15,90.6
"202","Elmira Heights village                                                                ",4359,23.2,57.3,19.5,80.5
"203","Elmont CDP                                                                            ",28612,21.1,63.4,15.6,94.4
"204","Elmsford village                                                                      ",3938,24.7,62.8,12.5,92.8
"205","Elwood CDP                                                                            ",10916,22.1,68.8,9.1,97
"206","Endicott village                                                                      ",13531,20.9,61.5,17.6,82.1
"207","Endwell CDP                                                                           ",12602,21,62.1,16.9,88.7
"208","Fairmount CDP                                                                         ",12266,21.9,61.3,16.7,87.4
"209","Fairport village                                                                      ",5943,25.8,62.8,11.3,90.9
"210","Fairview CDP                                                                          ",4811,23.2,62.7,14.1,89.9
"211","Falconer village                                                                      ",2653,22.1,60.5,17.4,87.5
"212","Farmingdale village                                                                   ",8022,19.7,66.8,13.5,93.6
"213","Farmingville CDP                                                                      ",14842,28.9,64.7,6.4,95.4
"214","Fayetteville village                                                                  ",4248,22.1,63.5,14.4,83.6
"215","Firthcliffe CDP                                                                       ",4427,26.1,60.7,13.2,89.3
"216","Fishkill village                                                                      ",1957,14.3,55,30.7,75
"217","Flanders CDP                                                                          ",3231,28.7,61.2,10.1,92.7
"218","Floral Park village                                                                   ",15947,22.4,61.7,15.9,86.8
"219","Florida village                                                                       ",2497,26.7,60.7,12.6,86.7
"220","Flower Hill village                                                                   ",4490,23.1,61.6,15.3,91.4
"221","Fonda village                                                                         ",1007,24.8,60,15.2,106.3
"222","Forest Home CDP                                                                       ",1125,28.2,67.4,4.4,98.5
"223","Fort Drum CDP                                                                         ",11578,23.9,76,0.1,256.3
"224","Fort Edward village                                                                   ",3561,28.2,59.8,12,86.9
"225","Fort Montgomery CDP                                                                   ",1450,24.9,64.8,10.3,104.3
"226","Fort Plain village                                                                    ",2416,26.5,54.5,19,84.8
"227","Fort Salonga CDP                                                                      ",9176,23,68.2,8.8,96.5
"228","Frankfort village                                                                     ",2693,23.3,57.2,19.5,85.4
"229","Franklin Square CDP                                                                   ",28205,19.7,60.9,19.5,86.3
"230","Franklinville village                                                                 ",1739,29.6,53,17.4,80.7
"231","Fredonia village                                                                      ",10436,17.5,71,11.6,78.7
"232","Freeport village                                                                      ",39894,24.2,65.4,10.4,90.9
"233","Frewsburg CDP                                                                         ",1817,26,55.8,18.2,88.5
"234","Friendship CDP                                                                        ",1423,32.4,52.9,14.7,93.2
"235","Fulton city                                                                           ",12929,26.9,56.5,16.7,82.5
"236","Gang Mills CDP                                                                        ",2738,27.3,58.2,14.5,84.6
"237","Garden City village                                                                   ",21686,20.5,63,16.6,85.2
"238","Garden City Park CDP                                                                  ",7437,20.3,59.7,20,88
"239","Garden City South CDP                                                                 ",4073,18.9,62,19.2,88.2
"240","Gardnertown CDP                                                                       ",4209,24,61.6,14.4,92.5
"241","Gasport CDP                                                                           ",1336,25.4,56.4,18.1,85.1
"242","Gates-North Gates CDP                                                                 ",14995,21.3,64.5,14.2,86.5
"243","Geneseo village                                                                       ",7187,9.9,84.2,6,60.1
"244","Geneva city                                                                           ",14143,21.1,62.6,16.2,86.3
"245","Glasco CDP                                                                            ",1538,22.2,62.4,15.4,84.7
"246","Glen Cove city                                                                        ",24149,20.2,63.1,16.7,88.4
"247","Glen Head CDP                                                                         ",4488,20,63.6,16.4,90.2
"248","Glens Falls city                                                                      ",15023,24.8,60,15.2,80
"249","Glens Falls North CDP                                                                 ",7978,24.6,59.5,15.9,83.5
"250","Glenwood Landing CDP                                                                  ",3407,20.7,63.6,15.7,91.6
"251","Gloversville city                                                                     ",16656,25,55.2,19.8,80
"252","Golden's Bridge CDP                                                                   ",1589,23.5,67.4,9.1,89.1
"253","Goshen village                                                                        ",5255,21.4,65.1,13.5,103.2
"254","Gouverneur village                                                                    ",4604,29.5,56.7,13.8,84.2
"255","Gowanda village                                                                       ",2901,24.6,54.7,20.8,77.6
"256","Granville village                                                                     ",2646,25.9,53.7,20.4,77.4
"257","Great Neck village                                                                    ",8745,21.8,60.8,17.4,88.4
"258","Great Neck Estates village                                                            ",2790,24.9,59,16.1,89.2
"259","Great Neck Plaza village                                                              ",5897,10,65.2,24.9,73.4
"260","Greece CDP                                                                            ",15632,22.3,61.9,15.8,86.6
"261","Greene village                                                                        ",1812,27.1,55.5,17.4,83
"262","Green Island village                                                                  ",2490,22,62.1,15.9,89.8
"263","Greenlawn CDP                                                                         ",13208,22.7,63.6,13.7,86
"264","Greenport village                                                                     ",2070,23.7,58.1,18.2,83.4
"265","Greenport West CDP                                                                    ",1614,16.4,49.9,33.7,74.2
"266","Greenville CDP                                                                        ",9528,22.6,65.5,11.9,85.8
"267","Greenwich village                                                                     ",1961,27.7,59.6,12.6,86.2
"268","Greenwood Lake village                                                                ",3208,26.5,62.1,11.4,95.8
"269","Groton village                                                                        ",2398,28.3,57,14.7,77.5
"270","Hagaman village                                                                       ",1377,24.1,58.8,17.1,91.4
"271","Halesite CDP                                                                          ",2687,22.8,65.2,11.9,95.1
"272","Hamburg village                                                                       ",10442,26.4,58.9,14.8,81.2
"273","Hamilton village                                                                      ",3790,8.8,82.7,8.5,99.4
"274","Hampton Bays CDP                                                                      ",7893,19.8,59.6,20.5,89.6
"275","Hampton Manor CDP                                                                     ",2600,21.4,62.4,16.2,83.5
"276","Hancock village                                                                       ",1330,27.4,56.2,16.3,82.4
"277","Harriman village                                                                      ",2288,23.9,66.2,9.9,89.2
"278","Harris Hill CDP                                                                       ",4577,22.2,62,15.8,91.6
"279","Harrison village                                                                      ",23308,18.1,68,13.9,84.4
"280","Hartsdale CDP                                                                         ",9587,17.7,67.2,15.1,83.9
"281","Hastings-on-Hudson village                                                            ",8000,21.6,61,17.5,84
"282","Hauppauge CDP                                                                         ",19750,22.5,70.6,6.9,96.7
"283","Haverstraw village                                                                    ",9438,30.4,60.3,9.3,89.2
"284","Haviland CDP                                                                          ",3605,24,65.3,10.7,97.3
"285","Hawthorne CDP                                                                         ",4764,23.9,64.2,11.9,95.6
"286","Head of the Harbor village                                                            ",1354,22,69.6,8.3,103.1
"287","Hempstead village                                                                     ",49453,23.8,67.7,8.5,83.5
"288","Herkimer village                                                                      ",7945,19.4,57.6,23,78.7
"289","Herricks CDP                                                                          ",4097,20.4,59.6,20,89
"290","Hewlett CDP                                                                           ",6620,21.4,63.4,15.2,89.7
"291","Hewlett Harbor village                                                                ",1193,18.9,63.5,17.5,93.8
"292","Hicksville CDP                                                                        ",40174,20.8,64.4,14.8,94.3
"293","Highland CDP                                                                          ",4492,22.4,61.9,15.7,84.7
"294","Highland Falls village                                                                ",3937,22.5,62.6,14.9,90.5
"295","Highland Mills CDP                                                                    ",2576,29.5,64.9,5.6,96.3
"296","Hillcrest CDP                                                                         ",6447,28.1,61.6,10.3,87.4
"297","Hillside Lake CDP                                                                     ",1692,31.4,62,6.6,96.8
"298","Hilton village                                                                        ",5216,32.1,60.4,7.6,90.5
"299","Holbrook CDP                                                                          ",25273,29.3,64.6,6.1,92.4
"300","Holland CDP                                                                           ",1288,29.4,59.2,11.3,94.2
"301","Holley village                                                                        ",1890,26.8,59.9,13.3,88.8
"302","Holtsville CDP                                                                        ",14972,28.6,65.8,5.6,94.8
"303","Homer village                                                                         ",3476,24.9,58.5,16.7,82.8
"304","Honeoye Falls village                                                                 ",2340,23.1,62.7,14.1,86.8
"305","Hoosick Falls village                                                                 ",3490,26.4,56.5,17.1,84
"306","Hopewell Junction CDP                                                                 ",1786,25.4,63.5,11.1,96.3
"307","Hornell city                                                                          ",9877,28.5,55.5,16,81.6
"308","Horseheads village                                                                    ",6802,21.3,56.9,21.8,80.8
"309","Horseheads North CDP                                                                  ",3003,27.7,61.5,10.8,89.9
"310","Houghton CDP                                                                          ",1740,13.7,77.1,9.2,67.3
"311","Hudson city                                                                           ",8034,23.9,56.6,19.5,94.5
"312","Hudson Falls village                                                                  ",7651,26,60.1,14,83.2
"313","Huntington CDP                                                                        ",18243,21.6,64.8,13.6,89.6
"314","Huntington Bay village                                                                ",1521,23.1,64.6,12.3,97.6
"315","Huntington Station CDP                                                                ",28247,23.8,65.5,10.7,93.7
"316","Hurley CDP                                                                            ",4644,24.2,63.3,12.5,96
"317","Ilion village                                                                         ",8888,28.3,54,17.7,82.6
"318","Inwood CDP                                                                            ",7767,22.8,60.8,16.4,80
"319","Irondequoit CDP                                                                       ",52322,19.5,57.3,23.3,83.1
"320","Irvington village                                                                     ",6348,23.3,63.5,13.2,88
"321","Islandia village                                                                      ",2769,26.5,69.6,3.9,94.6
"322","Island Park village                                                                   ",4860,20.9,65.3,13.8,86.4
"323","Islip CDP                                                                             ",18924,24.4,66.4,9.2,91.6
"324","Islip Terrace CDP                                                                     ",5530,25.6,66.3,8.2,94.5
"325","Ithaca city                                                                           ",29541,10.1,82.2,7.7,106.9
"326","Jamesport CDP                                                                         ",1532,21.7,57.7,20.6,97.4
"327","Jamestown city                                                                        ",34681,25.7,57.1,17.2,83.2
"328","Jamestown West CDP                                                                    ",2633,21,56.4,22.6,83.7
"329","Jefferson Heights CDP                                                                 ",1512,16.2,49.9,33.9,67.8
"330","Jefferson Valley-Yorktown CDP                                                         ",14118,24.4,61.8,13.8,88
"331","Jericho CDP                                                                           ",13141,21.7,66.4,11.9,94.7
"332","Johnson City village                                                                  ",16890,19.3,58.6,22.1,82.8
"333","Johnstown city                                                                        ",9058,24.5,55.9,19.6,81
"334","Jordan village                                                                        ",1325,30.4,56.1,13.5,85.9
"335","Keeseville village                                                                    ",1854,27.2,61.7,11.1,88.7
"336","Kenmore village                                                                       ",17180,23.3,60.2,16.6,81.2
"337","Kensington village                                                                    ",1104,22.7,55.5,21.7,80.7
"338","Kerhonkson CDP                                                                        ",1629,23,57.5,19.6,89.3
"339","Kinderhook village                                                                    ",1293,24.7,59,16.2,85.3
"340","Kings Park CDP                                                                        ",17773,20.3,66.6,13.1,93.6
"341","Kings Point village                                                                   ",4843,19,68,13,123.2
"342","Kingston city                                                                         ",23095,21.9,59.4,18.7,81.5
"343","Kiryas Joel village                                                                   ",7437,63,34.4,2.7,122.5
"344","Lackawanna city                                                                       ",20585,22.9,59.4,17.8,85
"345","Lake Carmel CDP                                                                       ",8489,28.1,63.8,8.1,95.1
"346","Lake Erie Beach CDP                                                                   ",4509,28.7,61.7,9.7,94.9
"347","Lake Grove village                                                                    ",9612,25.5,65.9,8.6,92.5
"348","Lake Katrine CDP                                                                      ",1998,20.9,67.8,11.3,92.2
"349","Lake Luzerne-Hadley CDP                                                               ",2042,25.2,59,15.8,89.6
"350","Lake Placid village                                                                   ",2485,20.9,63.4,15.7,86.5
"351","Lake Ronkonkoma CDP                                                                   ",18997,25.8,63,11.2,90.4
"352","Lake Success village                                                                  ",2484,18.2,54.9,26.9,77.4
"353","Lakeview CDP                                                                          ",5476,25.1,63.7,11.2,79.2
"354","Lakewood village                                                                      ",3564,23.8,59.8,16.4,83.6
"355","Lancaster village                                                                     ",11940,22.7,60.9,16.5,84
"356","Lansing village                                                                       ",3281,20.6,71.4,7.9,93.2
"357","Larchmont village                                                                     ",6181,24.2,63,12.8,87.1
"358","Latham CDP                                                                            ",10131,21.2,63.2,15.6,84.4
"359","Lattingtown village                                                                   ",1859,21.5,63,15.5,97.8
"360","Laurel CDP                                                                            ",1094,25.5,55.9,18.6,86.1
"361","Laurel Hollow village                                                                 ",1748,25.1,61.7,13.3,93.8
"362","Lawrence village                                                                      ",6513,25.4,57.7,17,88
"363","Le Roy village                                                                        ",4974,25.8,57.2,17,82.9
"364","Levittown CDP                                                                         ",53286,23.1,66.1,10.8,93.4
"365","Lewiston village                                                                      ",3048,19.8,56.2,24,79.2
"366","Liberty village                                                                       ",4128,25.8,55.1,19.1,79.7
"367","Lido Beach CDP                                                                        ",2786,16.7,64,19.3,90.2
"368","Lima village                                                                          ",2165,27,64.1,8.9,83.2
"369","Lime Lake-Machias CDP                                                                 ",1269,26.2,52.5,21.4,84.4
"370","Lincoln Park CDP                                                                      ",2457,17,58.4,24.5,79.5
"371","Lindenhurst village                                                                   ",26879,24,65.2,10.7,92.3
"372","Little Falls city                                                                     ",5829,21.8,49.5,28.7,78.5
"373","Little Valley village                                                                 ",1188,26.5,59,14.5,107.4
"374","Liverpool village                                                                     ",2624,22.9,60.8,16.3,80.9
"375","Livingston Manor CDP                                                                  ",1482,31.6,54.5,14,82.4
"376","Livonia village                                                                       ",1434,30.1,57.6,12.3,86.4
"377","Lloyd Harbor village                                                                  ",3343,23.9,65.2,10.9,101.2
"378","Lockport city                                                                         ",24426,25.5,58.5,16.1,83.6
"379","Locust Valley CDP                                                                     ",3963,20.6,64.7,14.7,90.6
"380","Long Beach city                                                                       ",33510,17.7,63.7,18.6,87.5
"381","Lorenz Park CDP                                                                       ",1811,18.2,57,24.7,81.1
"382","Loudonville CDP                                                                       ",10822,23,63.1,14,91.4
"383","Lowville village                                                                      ",3632,26,55.7,18.2,80.6
"384","Lynbrook village                                                                      ",19208,20.4,62.5,17.1,84.4
"385","Lyncourt CDP                                                                          ",4516,17.6,60.9,21.5,80.9
"386","Lyndon CDP                                                                            ",4593,24.2,59.2,16.7,89.8
"387","Lyons village                                                                         ",4280,26.9,58,15.1,83.1
"388","Macedon village                                                                       ",1400,29.1,63.5,7.4,100
"389","McGraw village                                                                        ",1074,28.6,56.9,14.5,81.3
"390","Mahopac CDP                                                                           ",7755,26.3,66.2,7.5,95.5
"391","Malone village                                                                        ",6777,24.3,56.1,19.6,74.3
"392","Malverne village                                                                      ",9054,22,61.7,16.3,87.5
"393","Mamaroneck village                                                                    ",17325,19.9,63.9,16.2,87.8
"394","Manchester village                                                                    ",1598,21.2,54.9,24,85.8
"395","Manhasset CDP                                                                         ",7718,21,62.5,16.5,83.7
